id;nr;iterations;kicks;goals;score
trainGaPlayer01Simple;work000;0;0.129;0.000;0.129
trainGaPlayer01Simple;work000;1;0.673;0.000;0.673
trainGaPlayer01Simple;work000;2;0.445;0.000;0.445
trainGaPlayer01Simple;work000;3;0.692;0.000;0.692
trainGaPlayer01Simple;work000;4;1.469;0.000;1.469
trainGaPlayer01Simple;work000;5;2.472;0.000;2.472
trainGaPlayer01Simple;work000;6;2.200;0.000;2.200
trainGaPlayer01Simple;work000;7;3.468;0.000;3.468
trainGaPlayer01Simple;work000;8;4.314;0.000;4.314
trainGaPlayer01Simple;work000;9;5.580;0.000;5.580
trainGaPlayer01Simple;work000;10;6.079;0.000;6.079
trainGaPlayer01Simple;work000;11;9.929;0.000;9.929
trainGaPlayer01Simple;work000;12;9.001;0.000;9.001
trainGaPlayer01Simple;work000;13;9.816;0.000;9.816
trainGaPlayer01Simple;work000;14;10.747;0.008;10.831
trainGaPlayer01Simple;work000;15;10.142;0.000;10.142
trainGaPlayer01Simple;work000;16;12.533;0.000;12.533
trainGaPlayer01Simple;work000;17;12.851;0.006;12.906
trainGaPlayer01Simple;work000;18;12.529;0.000;12.529
trainGaPlayer01Simple;work000;19;12.978;0.000;12.978
trainGaPlayer01Simple;work000;20;15.109;0.000;15.109
trainGaPlayer01Simple;work000;21;15.805;0.006;15.860
trainGaPlayer01Simple;work000;22;16.247;0.009;16.340
trainGaPlayer01Simple;work000;23;13.019;0.004;13.057
trainGaPlayer01Simple;work000;24;17.025;0.007;17.091
trainGaPlayer01Simple;work000;25;16.980;0.000;16.980
trainGaPlayer01Simple;work000;26;16.299;0.000;16.299
trainGaPlayer01Simple;work000;27;17.919;0.000;17.919
trainGaPlayer01Simple;work000;28;21.701;0.004;21.742
trainGaPlayer01Simple;work000;29;21.393;0.000;21.393
trainGaPlayer01Simple;work000;30;22.025;0.000;22.025
trainGaPlayer01Simple;work000;31;20.375;0.008;20.458
trainGaPlayer01Simple;work000;32;22.704;0.000;22.704
trainGaPlayer01Simple;work000;33;23.087;0.011;23.199
trainGaPlayer01Simple;work000;34;20.692;0.006;20.748
trainGaPlayer01Simple;work000;35;24.549;0.007;24.615
trainGaPlayer01Simple;work000;36;22.837;0.014;22.976
trainGaPlayer01Simple;work000;37;25.919;0.000;25.919
trainGaPlayer01Simple;work000;38;22.231;0.006;22.287
trainGaPlayer01Simple;work000;39;23.436;0.000;23.436
trainGaPlayer01Simple;work000;40;23.305;0.000;23.305
trainGaPlayer01Simple;work000;41;27.150;0.006;27.206
trainGaPlayer01Simple;work000;42;25.733;0.023;25.967
trainGaPlayer01Simple;work000;43;26.068;0.006;26.124
trainGaPlayer01Simple;work000;44;26.058;0.000;26.058
trainGaPlayer01Simple;work000;45;25.094;0.004;25.136
trainGaPlayer01Simple;work000;46;28.897;0.000;28.897
trainGaPlayer01Simple;work000;47;23.189;0.008;23.272
trainGaPlayer01Simple;work000;48;23.024;0.000;23.024
trainGaPlayer01Simple;work000;49;24.974;0.008;25.057
trainGaPlayer01Simple;work000;50;22.701;0.012;22.823
trainGaPlayer01Simple;work000;51;24.211;0.000;24.211
trainGaPlayer01Simple;work000;52;25.006;0.007;25.072
trainGaPlayer01Simple;work000;53;27.026;0.028;27.307
trainGaPlayer01Simple;work000;54;25.646;0.017;25.813
trainGaPlayer01Simple;work000;55;26.814;0.013;26.946
trainGaPlayer01Simple;work000;56;27.235;0.033;27.563
