id;nr;iterations;kicks;goals;score
trainGaPlayer01Simple;work002;0;0.570;0.000;0.570
trainGaPlayer01Simple;work002;1;0.510;0.000;0.510
trainGaPlayer01Simple;work002;2;1.029;0.000;1.029
trainGaPlayer01Simple;work002;3;1.101;0.000;1.101
trainGaPlayer01Simple;work002;4;2.762;0.000;2.762
trainGaPlayer01Simple;work002;5;2.599;0.000;2.599
trainGaPlayer01Simple;work002;6;4.229;0.000;4.229
trainGaPlayer01Simple;work002;7;3.746;0.000;3.746
trainGaPlayer01Simple;work002;8;4.709;0.000;4.709
trainGaPlayer01Simple;work002;9;5.268;0.000;5.268
trainGaPlayer01Simple;work002;10;5.296;0.000;5.296
trainGaPlayer01Simple;work002;11;6.041;0.003;6.069
trainGaPlayer01Simple;work002;12;5.869;0.000;5.869
trainGaPlayer01Simple;work002;13;4.938;0.000;4.938
trainGaPlayer01Simple;work002;14;4.914;0.006;4.969
trainGaPlayer01Simple;work002;15;5.766;0.000;5.766
trainGaPlayer01Simple;work002;16;5.727;0.000;5.727
trainGaPlayer01Simple;work002;17;6.383;0.000;6.383
trainGaPlayer01Simple;work002;18;6.080;0.000;6.080
trainGaPlayer01Simple;work002;19;8.694;0.000;8.694
trainGaPlayer01Simple;work002;20;7.248;0.000;7.248
trainGaPlayer01Simple;work002;21;6.718;0.000;6.718
trainGaPlayer01Simple;work002;22;7.876;0.000;7.876
trainGaPlayer01Simple;work002;23;8.671;0.000;8.671
trainGaPlayer01Simple;work002;24;9.389;0.000;9.389
trainGaPlayer01Simple;work002;25;9.406;0.003;9.434
trainGaPlayer01Simple;work002;26;10.000;0.000;10.000
trainGaPlayer01Simple;work002;27;11.580;0.000;11.580
trainGaPlayer01Simple;work002;28;13.507;0.000;13.507
trainGaPlayer01Simple;work002;29;13.335;0.004;13.376
trainGaPlayer01Simple;work002;30;10.620;0.000;10.620
trainGaPlayer01Simple;work002;31;10.974;0.000;10.974
trainGaPlayer01Simple;work002;32;16.150;0.000;16.150
trainGaPlayer01Simple;work002;33;12.580;0.004;12.617
trainGaPlayer01Simple;work002;34;12.919;0.000;12.919
trainGaPlayer01Simple;work002;35;13.259;0.000;13.259
trainGaPlayer01Simple;work002;36;16.169;0.000;16.169
trainGaPlayer01Simple;work002;37;15.101;0.000;15.101
trainGaPlayer01Simple;work002;38;17.929;0.000;17.929
trainGaPlayer01Simple;work002;39;17.646;0.000;17.646
trainGaPlayer01Simple;work002;40;14.665;0.000;14.665
trainGaPlayer01Simple;work002;41;15.864;0.000;15.864
trainGaPlayer01Simple;work002;42;20.308;0.008;20.392
trainGaPlayer01Simple;work002;43;19.775;0.000;19.775
trainGaPlayer01Simple;work002;44;21.306;0.008;21.389
trainGaPlayer01Simple;work002;45;24.055;0.011;24.170
trainGaPlayer01Simple;work002;46;23.646;0.005;23.693
trainGaPlayer01Simple;work002;47;24.566;0.015;24.716
trainGaPlayer01Simple;work002;48;23.533;0.007;23.599
trainGaPlayer01Simple;work002;49;27.239;0.013;27.371
trainGaPlayer01Simple;work002;50;27.411;0.000;27.411
trainGaPlayer01Simple;work002;51;30.275;0.025;30.525
trainGaPlayer01Simple;work002;52;34.638;0.023;34.872
trainGaPlayer01Simple;work002;53;36.155;0.023;36.388
trainGaPlayer01Simple;work002;54;36.764;0.021;36.979
trainGaPlayer01Simple;work002;55;36.423;0.061;37.037
trainGaPlayer01Simple;work002;56;36.302;0.019;36.497
trainGaPlayer01Simple;work002;57;32.942;0.005;32.990
trainGaPlayer01Simple;work002;58;40.936;0.046;41.392
trainGaPlayer01Simple;work002;59;43.477;0.024;43.713
trainGaPlayer01Simple;work002;60;42.946;0.004;42.988
trainGaPlayer01Simple;work002;61;51.823;0.045;52.271
trainGaPlayer01Simple;work002;62;50.660;0.052;51.178
trainGaPlayer01Simple;work002;63;50.616;0.055;51.162
trainGaPlayer01Simple;work002;64;46.351;0.025;46.598
trainGaPlayer01Simple;work002;65;51.747;0.029;52.036
trainGaPlayer01Simple;work002;66;65.912;0.044;55.104
trainGaPlayer01Simple;work002;67;53.753;0.037;54.126
trainGaPlayer01Simple;work002;68;62.777;0.028;63.058
trainGaPlayer01Simple;work002;69;52.993;0.053;53.520
trainGaPlayer01Simple;work002;70;51.614;0.048;52.092
trainGaPlayer01Simple;work002;71;54.520;0.028;54.797
trainGaPlayer01Simple;work002;72;59.409;0.048;59.892
trainGaPlayer01Simple;work002;73;62.092;0.052;62.565
trainGaPlayer01Simple;work002;74;52.995;0.046;53.459
trainGaPlayer01Simple;work002;75;53.576;0.050;54.080
trainGaPlayer01Simple;work002;76;57.730;0.042;58.041
trainGaPlayer01Simple;work002;77;49.285;0.059;49.872
trainGaPlayer01Simple;work002;78;56.981;0.014;57.126
trainGaPlayer01Simple;work002;79;67.599;0.049;66.873
trainGaPlayer01Simple;work002;80;75.953;0.045;72.501
trainGaPlayer01Simple;work002;81;71.474;0.023;71.705
trainGaPlayer01Simple;work002;82;81.143;0.064;80.997
trainGaPlayer01Simple;work002;83;72.020;0.054;72.559
trainGaPlayer01Simple;work002;84;91.050;0.012;88.195
trainGaPlayer01Simple;work002;85;85.504;0.065;85.425
trainGaPlayer01Simple;work002;86;82.321;0.130;82.739
