        16,     38.00,    -19.00,   -122.40,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    144.80,    143.22,    141.21,    138.58,    134.98,    122.07,    109.59,     89.41,     61.89,         0,         0,         0,         0,         0,    132.88,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
        17,     17.00,    -27.00,   -126.40,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    143.45,    141.72,    139.28,    135.63,    129.64,     93.86,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
        18,      6.00,    -19.00,    -51.40,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    127.29,    103.61,     88.41,     79.07,     73.05,     60.55,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
        19,    -15.00,      2.00,    -38.40,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    144.65,    120.23,    111.12,    103.94,     98.31,     93.85,     85.27,     78.37,     70.94,     69.15,     85.01,     63.86,         0,     57.39,     55.35,         0,         0,         0,         0,         0,         0,         0
        20,     48.00,    -15.00,   -141.40,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    135.19,    143.13,    141.30,    135.90,    130.55,    124.84,    123.35,    121.50,    119.16,    116.12,    106.33,     98.00,     85.47,     67.04,         0,         0,         0,         0,         0,    116.27,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
        21,    -37.00,     27.00,   -150.40,         0,         0,         0,         0,         0,    137.73,    111.17,     90.61,     78.28,         0,         0,         0,     64.80,     69.18,     63.68,     59.83,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
        22,     34.00,      5.00,    -45.40,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    136.84,    124.62,    110.16,    100.77,     86.61,     86.90,    140.42,    124.52,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
        23,    -29.00,     -5.00,    -13.40,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    127.69,    121.36,    116.56,    112.84,    109.89,    102.64,     96.39,     89.89,     88.01,     99.63,     82.19,     65.52,     78.27,     76.82,     70.57,     64.69,     57.49,         0,         0,         0,         0
        24,    -23.00,    -20.00,    132.60,         0,         0,    135.84,    126.53,    118.01,    107.61,    101.42,     93.21,     94.60,    124.82,    109.93,         0,     76.02,     68.55,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
        25,    -23.00,    -27.00,     69.60,     90.75,     82.21,     73.55,     65.16,     57.35,         0,         0,         0,         0,     64.34,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    144.95,    130.98,         0,         0,    139.48,    134.47,    127.49,    123.27,    118.37,    112.69,    106.17
