id;nr;iterations;kicks;goals;score
trainGaPlayer01Simple;work001;0;0.064;0.000;0.064
trainGaPlayer01Simple;work001;1;0.134;0.000;0.134
trainGaPlayer01Simple;work001;2;0.221;0.000;0.221
trainGaPlayer01Simple;work001;3;0.366;0.000;0.366
trainGaPlayer01Simple;work001;4;0.595;0.000;0.595
trainGaPlayer01Simple;work001;5;0.789;0.000;0.789
trainGaPlayer01Simple;work001;6;0.982;0.000;0.982
trainGaPlayer01Simple;work001;7;1.749;0.000;1.749
trainGaPlayer01Simple;work001;8;2.857;0.000;2.857
trainGaPlayer01Simple;work001;9;2.381;0.000;2.381
trainGaPlayer01Simple;work001;10;4.856;0.008;4.939
trainGaPlayer01Simple;work001;11;4.597;0.000;4.597
trainGaPlayer01Simple;work001;12;4.071;0.000;4.071
trainGaPlayer01Simple;work001;13;5.633;0.007;5.699
trainGaPlayer01Simple;work001;14;6.194;0.000;6.194
trainGaPlayer01Simple;work001;15;6.351;0.000;6.351
trainGaPlayer01Simple;work001;16;8.601;0.000;8.601
trainGaPlayer01Simple;work001;17;9.609;0.008;9.692
trainGaPlayer01Simple;work001;18;9.922;0.008;10.005
trainGaPlayer01Simple;work001;19;9.338;0.000;9.338
trainGaPlayer01Simple;work001;20;12.783;0.004;12.825
trainGaPlayer01Simple;work001;21;12.874;0.000;12.874
trainGaPlayer01Simple;work001;22;13.646;0.000;13.646
trainGaPlayer01Simple;work001;23;13.624;0.007;13.690
trainGaPlayer01Simple;work001;24;14.470;0.000;14.470
trainGaPlayer01Simple;work001;25;15.660;0.033;15.986
trainGaPlayer01Simple;work001;26;14.141;0.013;14.269
trainGaPlayer01Simple;work001;27;16.117;0.005;16.164
trainGaPlayer01Simple;work001;28;18.423;0.007;18.490
trainGaPlayer01Simple;work001;29;16.381;0.019;16.570
trainGaPlayer01Simple;work001;30;20.586;0.003;20.616
trainGaPlayer01Simple;work001;31;18.456;0.000;18.456
trainGaPlayer01Simple;work001;32;20.489;0.012;20.611
trainGaPlayer01Simple;work001;33;16.154;0.018;16.332
trainGaPlayer01Simple;work001;34;20.763;0.023;20.996
trainGaPlayer01Simple;work001;35;20.842;0.018;21.020
trainGaPlayer01Simple;work001;36;21.674;0.008;21.758
trainGaPlayer01Simple;work001;37;20.313;0.003;20.343
trainGaPlayer01Simple;work001;38;23.398;0.013;23.523
trainGaPlayer01Simple;work001;39;20.599;0.008;20.683
trainGaPlayer01Simple;work001;40;24.142;0.012;24.258
trainGaPlayer01Simple;work001;41;24.711;0.005;24.759
trainGaPlayer01Simple;work001;42;25.296;0.018;25.474
trainGaPlayer01Simple;work001;43;26.019;0.008;26.104
trainGaPlayer01Simple;work001;44;28.720;0.010;28.815
trainGaPlayer01Simple;work001;45;28.793;0.031;29.106
trainGaPlayer01Simple;work001;46;28.676;0.017;28.846
trainGaPlayer01Simple;work001;47;32.696;0.009;32.785
trainGaPlayer01Simple;work001;48;34.398;0.011;34.512
trainGaPlayer01Simple;work001;49;34.454;0.046;34.913
trainGaPlayer01Simple;work001;50;31.881;0.014;32.021
trainGaPlayer01Simple;work001;51;32.820;0.023;33.045
