id;nr;iterations;kicks;goals;score
trainGaPlayer01C;work002;1361;121.145;1.969;414.537
trainGaPlayer01C;work002;1362;122.600;1.738;383.088
trainGaPlayer01C;work002;1363;119.427;1.692;371.872
trainGaPlayer01C;work002;1364;119.637;1.691;373.292
trainGaPlayer01C;work002;1365;121.727;1.701;376.001
trainGaPlayer01C;work002;1366;121.813;1.785;389.530
trainGaPlayer01C;work002;1367;124.116;1.806;392.509
trainGaPlayer01C;work002;1368;123.548;1.857;400.754
trainGaPlayer01C;work002;1369;121.206;1.964;415.410
trainGaPlayer01C;work002;1370;122.180;1.669;370.287
trainGaPlayer01C;work002;1371;124.233;1.823;396.759
trainGaPlayer01C;work002;1372;128.874;1.774;391.621
trainGaPlayer01C;work002;1373;127.127;1.669;374.782
trainGaPlayer01C;work002;1374;128.426;1.740;387.383
trainGaPlayer01C;work002;1375;129.335;1.757;391.097
trainGaPlayer01C;work002;1376;123.422;1.908;406.279
trainGaPlayer01C;work002;1377;122.622;1.792;385.904
trainGaPlayer01C;work002;1378;127.357;1.716;381.956
trainGaPlayer01C;work002;1379;129.839;1.495;351.663
trainGaPlayer01C;work002;1380;129.330;1.728;384.961
trainGaPlayer01C;work002;1381;126.887;1.870;406.183
trainGaPlayer01C;work002;1382;138.378;1.679;386.734
trainGaPlayer01C;work002;1383;134.168;1.985;428.862
trainGaPlayer01C;work002;1384;133.706;1.768;395.808
trainGaPlayer01C;work002;1385;139.588;1.591;371.477
trainGaPlayer01C;work002;1386;131.438;1.878;408.448
trainGaPlayer01C;work002;1387;136.311;1.747;390.665
trainGaPlayer01C;work002;1388;136.784;1.686;386.000
trainGaPlayer01C;work002;1389;132.065;1.920;416.614
trainGaPlayer01C;work002;1390;138.356;1.814;404.255
trainGaPlayer01C;work002;1391;133.862;1.683;381.409
trainGaPlayer01C;work002;1392;132.997;1.863;409.531
trainGaPlayer01C;work002;1393;131.557;1.635;373.009
trainGaPlayer01C;work002;1394;139.179;1.841;410.309
trainGaPlayer01C;work002;1395;139.425;1.909;419.392
trainGaPlayer01C;work002;1396;133.991;1.886;411.841
trainGaPlayer01C;work002;1397;129.436;2.080;437.307
trainGaPlayer01C;work002;1398;138.219;1.899;417.388
trainGaPlayer01C;work002;1399;131.422;1.932;419.118
trainGaPlayer01C;work002;1400;128.769;1.946;420.528
trainGaPlayer01C;work002;1401;129.616;2.103;444.632
trainGaPlayer01C;work002;1402;131.707;2.060;437.816
trainGaPlayer01C;work002;1403;128.537;2.032;433.029
trainGaPlayer01C;work002;1404;132.571;2.029;434.586
trainGaPlayer01C;work002;1405;126.222;2.034;429.803
trainGaPlayer01C;work002;1406;121.951;2.084;434.427
trainGaPlayer01C;work002;1407;132.633;1.693;381.844
trainGaPlayer01C;work002;1408;130.973;1.722;387.487
trainGaPlayer01C;work002;1409;128.891;1.866;407.084
trainGaPlayer01C;work002;1410;130.348;1.878;409.419
trainGaPlayer01C;work002;1411;130.175;1.781;395.217
trainGaPlayer01C;work002;1412;132.621;1.636;372.787
trainGaPlayer01C;work002;1413;129.313;1.639;372.407
trainGaPlayer01C;work002;1414;130.137;1.589;366.274
trainGaPlayer01C;work002;1415;123.334;1.892;406.321
trainGaPlayer01C;work002;1416;123.899;1.708;377.679
trainGaPlayer01C;work002;1417;125.940;1.570;359.694
trainGaPlayer01C;work002;1418;125.869;1.695;379.559
trainGaPlayer01C;work002;1419;134.362;1.647;376.492
trainGaPlayer01C;work002;1420;129.124;1.621;369.305
trainGaPlayer01C;work002;1421;125.792;1.903;407.864
trainGaPlayer01C;work002;1422;125.224;1.734;383.638
trainGaPlayer01C;work002;1423;124.759;1.673;372.440
trainGaPlayer01C;work002;1424;127.702;1.940;417.673
trainGaPlayer01C;work002;1425;127.296;1.797;395.664
trainGaPlayer01C;work002;1426;124.422;1.696;378.506
trainGaPlayer01C;work002;1427;125.960;1.817;397.379
trainGaPlayer01C;work002;1428;130.300;1.969;423.716
trainGaPlayer01C;work002;1429;127.191;1.706;380.508
trainGaPlayer01C;work002;1430;127.942;1.712;382.902
trainGaPlayer01C;work002;1431;126.254;1.784;390.652
trainGaPlayer01C;work002;1432;125.460;1.732;384.324
trainGaPlayer01C;work002;1433;122.950;1.694;374.993
trainGaPlayer01C;work002;1434;127.920;1.758;388.181
trainGaPlayer01C;work002;1435;130.858;1.861;408.759
trainGaPlayer01C;work002;1436;126.297;1.854;404.043
trainGaPlayer01C;work002;1437;128.967;1.723;385.735
trainGaPlayer01C;work002;1438;128.534;1.759;388.374
trainGaPlayer01C;work002;1439;124.602;1.997;422.549
trainGaPlayer01C;work002;1440;128.173;1.820;399.832
trainGaPlayer01C;work002;1441;128.869;2.033;432.488
trainGaPlayer01C;work002;1442;131.913;1.707;386.277
trainGaPlayer01C;work002;1443;129.303;1.814;399.799
trainGaPlayer01C;work002;1444;127.847;1.937;417.989
trainGaPlayer01C;work002;1445;131.848;1.820;401.891
trainGaPlayer01C;work002;1446;127.967;1.760;391.282
trainGaPlayer01C;work002;1447;125.307;1.732;383.197
trainGaPlayer01C;work002;1448;130.566;1.652;375.116
trainGaPlayer01C;work002;1449;130.666;1.752;390.807
trainGaPlayer01C;work002;1450;133.508;1.722;387.717
trainGaPlayer01C;work002;1451;129.101;1.656;377.334
trainGaPlayer01C;work002;1452;130.298;1.797;397.639
trainGaPlayer01C;work002;1453;132.645;1.554;360.169
trainGaPlayer01C;work002;1454;134.565;1.668;380.797
trainGaPlayer01C;work002;1455;126.488;1.847;400.180
trainGaPlayer01C;work002;1456;126.805;1.872;403.046
trainGaPlayer01C;work002;1457;130.851;1.710;382.632
trainGaPlayer01C;work002;1458;133.807;1.851;408.827
trainGaPlayer01C;work002;1459;137.797;1.678;383.897
trainGaPlayer01C;work002;1460;131.501;1.719;387.724
trainGaPlayer01C;work002;1461;135.533;1.890;412.319
trainGaPlayer01C;work002;1462;129.598;1.888;409.515
trainGaPlayer01C;work002;1463;125.101;1.861;403.657
trainGaPlayer01C;work002;1464;126.335;1.968;418.825
trainGaPlayer01C;work002;1465;127.900;1.959;420.374
trainGaPlayer01C;work002;1466;130.891;1.860;408.721
trainGaPlayer01C;work002;1467;126.418;1.909;412.439
trainGaPlayer01C;work002;1468;128.236;2.040;433.059
trainGaPlayer01C;work002;1469;135.565;2.058;440.251
trainGaPlayer01C;work002;1470;134.501;2.084;443.801
trainGaPlayer01C;work002;1471;130.039;2.077;439.692
trainGaPlayer01C;work002;1472;132.439;2.117;443.987
trainGaPlayer01C;work002;1473;135.924;2.004;431.751
trainGaPlayer01C;work002;1474;129.430;2.130;447.223
trainGaPlayer01C;work002;1475;129.724;2.128;446.471
trainGaPlayer01C;work002;1476;136.318;1.978;427.898
trainGaPlayer01C;work002;1477;135.266;2.124;449.696
trainGaPlayer01C;work002;1478;136.352;2.199;461.029
trainGaPlayer01C;work002;1479;134.851;1.989;430.400
trainGaPlayer01C;work002;1480;141.691;1.864;414.580
trainGaPlayer01C;work002;1481;136.886;2.072;444.673
trainGaPlayer01C;work002;1482;138.887;1.942;426.532
trainGaPlayer01C;work002;1483;133.629;2.259;467.166
trainGaPlayer01C;work002;1484;140.375;2.222;471.336
trainGaPlayer01C;work002;1485;138.350;2.118;451.410
trainGaPlayer01C;work002;1486;137.802;2.278;477.274
trainGaPlayer01C;work002;1487;135.972;2.036;437.533
trainGaPlayer01C;work002;1488;134.670;2.272;471.662
trainGaPlayer01C;work002;1489;134.186;2.188;459.994
trainGaPlayer01C;work002;1490;136.588;2.246;467.570
trainGaPlayer01C;work002;1491;133.542;2.025;435.552
trainGaPlayer01C;work002;1492;139.854;2.017;436.077
trainGaPlayer01C;work002;1493;137.990;2.252;471.418
trainGaPlayer01C;work002;1494;138.119;2.040;440.039
trainGaPlayer01C;work002;1495;136.202;1.937;424.388
trainGaPlayer01C;work002;1496;135.442;2.172;460.032
trainGaPlayer01C;work002;1497;135.633;2.127;451.781
trainGaPlayer01C;work002;1498;137.750;2.027;440.290
trainGaPlayer01C;work002;1499;135.922;2.069;442.269
trainGaPlayer01C;work002;1500;139.213;2.186;461.656
