id;nr;iterations;kicks;goals;score
trainGaPlayer01C;work001;0;0.400;0.000;0.400
trainGaPlayer01C;work001;1;0.422;0.000;0.422
trainGaPlayer01C;work001;2;0.934;0.000;0.934
trainGaPlayer01C;work001;3;1.012;0.000;1.012
trainGaPlayer01C;work001;4;1.835;0.000;1.835
trainGaPlayer01C;work001;5;2.689;0.000;2.689
trainGaPlayer01C;work001;6;3.218;0.000;3.218
trainGaPlayer01C;work001;7;5.177;0.000;5.177
trainGaPlayer01C;work001;8;4.909;0.000;4.909
trainGaPlayer01C;work001;9;5.490;0.000;5.490
trainGaPlayer01C;work001;10;7.838;0.000;7.838
trainGaPlayer01C;work001;11;13.415;0.000;13.415
trainGaPlayer01C;work001;12;10.018;0.000;10.018
trainGaPlayer01C;work001;13;13.743;0.000;13.743
trainGaPlayer01C;work001;14;13.505;0.000;13.505
trainGaPlayer01C;work001;15;16.300;0.000;16.300
trainGaPlayer01C;work001;16;21.215;0.000;21.215
trainGaPlayer01C;work001;17;20.790;0.000;20.790
trainGaPlayer01C;work001;18;23.836;0.000;23.836
trainGaPlayer01C;work001;19;21.401;0.000;21.401
trainGaPlayer01C;work001;20;21.234;0.000;21.234
trainGaPlayer01C;work001;21;22.928;0.000;22.928
trainGaPlayer01C;work001;22;23.974;0.000;23.974
trainGaPlayer01C;work001;23;23.500;0.004;24.056
trainGaPlayer01C;work001;24;23.614;0.000;23.614
trainGaPlayer01C;work001;25;24.252;0.006;25.085
trainGaPlayer01C;work001;26;28.763;0.000;28.763
trainGaPlayer01C;work001;27;25.139;0.000;25.139
trainGaPlayer01C;work001;28;28.740;0.000;28.740
trainGaPlayer01C;work001;29;26.077;0.006;26.911
trainGaPlayer01C;work001;30;32.361;0.000;32.361
trainGaPlayer01C;work001;31;27.894;0.007;28.894
trainGaPlayer01C;work001;32;25.979;0.004;26.535
trainGaPlayer01C;work001;33;26.648;0.000;26.648
trainGaPlayer01C;work001;34;25.660;0.003;26.114
trainGaPlayer01C;work001;35;35.514;0.000;35.514
trainGaPlayer01C;work001;36;31.601;0.000;31.601
trainGaPlayer01C;work001;37;30.106;0.000;30.106
trainGaPlayer01C;work001;38;34.089;0.000;34.089
trainGaPlayer01C;work001;39;31.082;0.000;31.082
trainGaPlayer01C;work001;40;33.128;0.000;33.128
trainGaPlayer01C;work001;41;35.225;0.000;35.225
trainGaPlayer01C;work001;42;32.563;0.007;33.563
trainGaPlayer01C;work001;43;36.410;0.000;36.410
trainGaPlayer01C;work001;44;33.570;0.000;33.570
trainGaPlayer01C;work001;45;34.761;0.004;35.386
trainGaPlayer01C;work001;46;37.560;0.005;38.274
trainGaPlayer01C;work001;47;35.321;0.000;35.321
trainGaPlayer01C;work001;48;35.149;0.007;36.149
trainGaPlayer01C;work001;49;42.889;0.008;44.139
trainGaPlayer01C;work001;50;38.960;0.000;38.960
trainGaPlayer01C;work001;51;44.187;0.000;44.187
trainGaPlayer01C;work001;52;42.837;0.006;43.670
trainGaPlayer01C;work001;53;45.576;0.007;46.576
trainGaPlayer01C;work001;54;44.678;0.006;45.512
trainGaPlayer01C;work001;55;44.391;0.000;44.391
trainGaPlayer01C;work001;56;51.121;0.006;52.030
trainGaPlayer01C;work001;57;46.212;0.008;47.462
trainGaPlayer01C;work001;58;47.564;0.011;49.231
trainGaPlayer01C;work001;59;49.610;0.023;53.110
trainGaPlayer01C;work001;60;47.629;0.007;48.629
trainGaPlayer01C;work001;61;46.384;0.004;47.009
trainGaPlayer01C;work001;62;47.599;0.017;50.099
trainGaPlayer01C;work001;63;47.387;0.010;48.942
trainGaPlayer01C;work001;64;45.571;0.004;46.196
trainGaPlayer01C;work001;65;45.478;0.007;46.488
trainGaPlayer01C;work001;66;45.892;0.005;46.606
trainGaPlayer01C;work001;67;50.824;0.004;51.449
trainGaPlayer01C;work001;68;55.172;0.006;56.112
trainGaPlayer01C;work001;69;57.308;0.004;57.863
trainGaPlayer01C;work001;70;61.340;0.000;61.340
trainGaPlayer01C;work001;71;59.258;0.016;61.689
trainGaPlayer01C;work001;72;60.531;0.019;63.329
trainGaPlayer01C;work001;73;67.269;0.008;68.519
trainGaPlayer01C;work001;74;66.183;0.003;66.599
trainGaPlayer01C;work001;75;63.249;0.000;63.215
trainGaPlayer01C;work001;76;65.783;0.007;66.783
trainGaPlayer01C;work001;77;63.712;0.021;66.837
trainGaPlayer01C;work001;78;70.318;0.008;71.545
trainGaPlayer01C;work001;79;68.570;0.007;69.570
trainGaPlayer01C;work001;80;73.062;0.025;76.812
trainGaPlayer01C;work001;81;70.968;0.000;70.968
trainGaPlayer01C;work001;82;73.918;0.008;75.168
trainGaPlayer01C;work001;83;76.841;0.027;80.841
trainGaPlayer01C;work001;84;81.115;0.011;82.781
trainGaPlayer01C;work001;85;84.848;0.012;86.670
trainGaPlayer01C;work001;86;83.489;0.015;85.751
trainGaPlayer01C;work001;87;82.009;0.018;84.660
trainGaPlayer01C;work001;88;84.263;0.017;86.763
trainGaPlayer01C;work001;89;81.063;0.017;83.563
trainGaPlayer01C;work001;90;85.437;0.011;87.040
trainGaPlayer01C;work001;91;83.415;0.023;86.874
trainGaPlayer01C;work001;92;79.171;0.021;82.337
trainGaPlayer01C;work001;93;77.847;0.010;79.302
trainGaPlayer01C;work001;94;92.707;0.031;93.063
trainGaPlayer01C;work001;95;88.326;0.042;94.484
trainGaPlayer01C;work001;96;93.087;0.000;93.087
trainGaPlayer01C;work001;97;94.482;0.024;98.036
trainGaPlayer01C;work001;98;96.296;0.044;102.863
trainGaPlayer01C;work001;99;102.729;0.011;103.612
trainGaPlayer01C;work001;100;103.506;0.066;113.345
trainGaPlayer01C;work001;101;102.670;0.023;105.262
trainGaPlayer01C;work001;102;101.911;0.041;107.924
trainGaPlayer01C;work001;103;109.723;0.022;109.749
trainGaPlayer01C;work001;104;110.166;0.029;112.588
trainGaPlayer01C;work001;105;101.852;0.030;104.834
trainGaPlayer01C;work001;106;106.741;0.032;111.010
trainGaPlayer01C;work001;107;105.837;0.040;111.448
trainGaPlayer01C;work001;108;110.060;0.020;112.258
trainGaPlayer01C;work001;109;113.476;0.056;121.275
trainGaPlayer01C;work001;110;107.313;0.017;107.502
trainGaPlayer01C;work001;111;115.743;0.047;120.767
trainGaPlayer01C;work001;112;107.834;0.076;118.030
trainGaPlayer01C;work001;113;112.627;0.024;113.160
trainGaPlayer01C;work001;114;111.197;0.011;112.231
trainGaPlayer01C;work001;115;119.781;0.019;120.418
trainGaPlayer01C;work001;116;106.232;0.064;114.933
trainGaPlayer01C;work001;117;118.056;0.041;121.671
trainGaPlayer01C;work001;118;122.955;0.038;122.570
trainGaPlayer01C;work001;119;115.583;0.050;121.383
trainGaPlayer01C;work001;120;121.583;0.079;128.396
trainGaPlayer01C;work001;121;118.314;0.053;124.860
trainGaPlayer01C;work001;122;122.539;0.085;133.663
trainGaPlayer01C;work001;123;130.721;0.071;136.209
trainGaPlayer01C;work001;124;124.887;0.101;137.985
trainGaPlayer01C;work001;125;123.946;0.042;127.722
trainGaPlayer01C;work001;126;121.485;0.092;133.142
trainGaPlayer01C;work001;127;130.913;0.078;137.987
trainGaPlayer01C;work001;128;126.461;0.094;135.485
trainGaPlayer01C;work001;129;128.505;0.069;133.835
trainGaPlayer01C;work001;130;131.331;0.078;139.104
trainGaPlayer01C;work001;131;129.782;0.088;140.658
trainGaPlayer01C;work001;132;134.338;0.079;140.228
trainGaPlayer01C;work001;133;128.329;0.071;136.745
trainGaPlayer01C;work001;134;125.997;0.121;140.731
trainGaPlayer01C;work001;135;129.919;0.133;146.242
trainGaPlayer01C;work001;136;129.607;0.129;144.014
trainGaPlayer01C;work001;137;128.730;0.121;141.881
trainGaPlayer01C;work001;138;141.737;0.084;145.411
trainGaPlayer01C;work001;139;138.334;0.147;150.922
trainGaPlayer01C;work001;140;148.192;0.136;158.328
trainGaPlayer01C;work001;141;133.750;0.140;147.766
trainGaPlayer01C;work001;142;143.184;0.118;148.711
trainGaPlayer01C;work001;143;141.920;0.153;158.825
trainGaPlayer01C;work001;144;140.937;0.128;152.919
trainGaPlayer01C;work001;145;129.821;0.096;138.807
trainGaPlayer01C;work001;146;128.430;0.148;144.047
trainGaPlayer01C;work001;147;132.570;0.098;140.767
trainGaPlayer01C;work001;148;136.527;0.148;152.024
trainGaPlayer01C;work001;149;132.516;0.109;141.238
trainGaPlayer01C;work001;150;137.467;0.147;150.573
trainGaPlayer01C;work001;151;134.733;0.165;153.724
trainGaPlayer01C;work001;152;134.668;0.113;144.179
trainGaPlayer01C;work001;153;141.041;0.143;156.164
trainGaPlayer01C;work001;154;135.276;0.161;153.912
trainGaPlayer01C;work001;155;147.107;0.081;144.857
trainGaPlayer01C;work001;156;141.157;0.106;144.988
trainGaPlayer01C;work001;157;128.054;0.103;136.180
trainGaPlayer01C;work001;158;135.544;0.125;147.924
